,issue_area,question,submission_date,submitter_location,submitters,vote_count,question_
0,Economy & Jobs,"What, if anything, do you plan to do to ensure this does not happen?",2016-10-09 18:51:00,CT,Stephanie C.,1,"if_anything plan ensure happen
"
1,Society & Community,Funding for more police officers and better training. Will you help. ,2016-10-09 19:28:00,FL,Donna T.,1,"fund police_officer better training help
"
2,Civil Rights, Can you change the FCCâs news distortion policy into law?,2016-10-09 17:44:00,NV,jim m.,1,"change fccâs news distortion policy law
"
3,Foreign Policy & Military,"What would any of you think the passing of ""JASTA"" affect or expose  americans?",2016-10-08 12:52:00,TX,Edgar G.,1,"think passing jasta affect expose american
"
4,Health,Would you commit to ending the Cadillac Tax on certain health care policy ,2016-10-08 13:28:00,NY,Ken W.,1,"commit end cadillac tax certain health_care policy
"
5,Economy & Jobs,If you were the president what is your goal bring our jobs back to our country? ,2016-10-09 14:09:00,NE,Nancy M.,1,"president goal bring job_back our_country
"
6,Economy & Jobs,What is your plan to create jobs and stimulate the economy'? ,2016-10-09 19:27:00,FL,Yvonne N.,1,"your_plan create_job stimulate economy
"
7,Civil Rights,your thoughts of black lives matter and how would you work with the Black commun,2016-10-09 18:07:00,AZ,Velva G.,1,"your_thought black_life matter work_with black commun
"
8,Civil Rights,How will you help transgender students ,2016-10-09 17:55:00,CA,Hannah I.,1,"help transgender student
"
9,Foreign Policy & Military,How will you support our veterans? ,2016-10-09 18:34:00,NY,Rachel L.,1,"support our_veteran
"
10,Health,Where Do You Stand On Genetically Modified Organism ?,2016-10-09 17:54:00,CA,Theresa R.,1,"stand_on genetically modified organism
"
11,Economy & Jobs,How exactly will you change the economic state we're in right now?,2016-10-09 17:37:00,MO,Daniel J.,1,"exactly change economic state 're right
"
12,Government & Elections,How will you develop Congressional support to help get your policies through?,2016-10-09 17:23:00,OH,Daniel H.,1,"develop congressional support help your_policy
"
13,Environment,Who controls the weather or climate in your mind??,2016-10-08 13:37:00,MS,robert w.,1,"control weather climate your_mind
"
14,Foreign Policy & Military,How do you support global trade and how would it help the American People?,2016-10-09 19:25:00,FL,David C.,1,"support global trade help american_people
"
15,Foreign Policy & Military,do you still dream of a borderless free trade northern hemisphere. ,2016-10-09 18:32:00,CA,george G.,1,"dream borderless free_trade northern hemisphere
"
16,Foreign Policy & Military,With tensions rising in the South China Sea and Syria what would you do to,2016-10-09 17:46:00,ID,Dan T.,1,"tension rise south_china_sea syria
"
17,Economy & Jobs,interest rates,2016-10-09 08:45:00,IL,Edward S.,1,"interest_rate
"
18,Government & Elections,How can you keep the government assistance up?,2016-10-07 23:08:00,OK,Nikki R.,1,"government assistance
"
19,Society & Community,What is your position on Creation vs. Evolutionism?,2016-10-09 18:09:00,IL,Peter R.,1,"your_position_on creation vs. evolutionism
"
20,Education,Explain why greed is In  business and education and rising cost of home and heal,2016-10-09 16:48:00,MA,Mark B.,1,"explain greed business education rise_cost home heal
"
21,Health,What are your thoughts on abortion? ,2016-10-09 19:25:00,SD,Jerricka T.,1,"your_thought_on abortion
"
22,Foreign Policy & Military,How will you defeat ISIS and protect the USA from terrorism?,2016-10-09 18:59:00,FL,Chuck B.,1,"defeat_isis protect usa terrorism
"
23,Society & Community,"Other than immigration, what issue is your next concern in the Latino community?",2016-10-09 18:13:00,NV,Maria P.,1,"other_than immigration issue concern latino community
"
24,Foreign Policy & Military,What will you do to ensure a truly sovereign and independent U.S. in the world?,2016-10-09 17:48:00,IL,Peter R.,1,"ensure truly sovereign independent u.s. world
"
25,Economy & Jobs,Many drivers will loose jobs due to smart cars how will you prepare for this,2016-10-09 15:00:00,NY,John D M.,1,"driver loose job smart car prepare
"
26,Government & Elections,Who should be inside your advisors while campaigning?,2016-10-09 16:59:00,MD,Zach S.,1,"inside advisor campaign
"
27,Education,What you you do to stopped the desertion of immigrant kids to leave school? ,2016-10-09 17:06:00,NJ,Diana R. G.,1,"stop desertion immigrant kid leave school
"
28,Government & Elections,Will you repeal Citizens United Ruling?,2016-10-09 17:51:00,CA,William R.,1,"repeal citizens_united ruling
"
29,Government & Elections,Isn't it unfair that states with such different populations all get 2 senators?,2016-10-09 15:51:00,MO,John Z.,1,"unfair state different population 2 senator
"
30,Society & Community,Are spouses responsible for each others shenanigans?,2016-10-09 08:26:00,FL,Gene W.,1,"spouse responsible_for shenanigan
"
31,Education,What are your thoughts on Common Core Standards?,2016-10-09 19:23:00,SD,Jerricka T.,1,"your_thought_on common_core standards
"
32,Foreign Policy & Military,What will you do to protect future generations of Americans ?,2016-10-09 16:47:00,PA,Mildred K.,1,"protect future generation americans
"
33,Society & Community,Have you ever paid for a woman's abortion?,2016-10-09 09:22:00,NJ,Jean L.,1,"pay woman_'s abortion
"
34,Civil Rights,Has either of you ever been on a board with a Terrorist?,2016-10-09 19:23:00,FL,Donna T.,1,"either_of board terrorist
"
35,Foreign Policy & Military,What's your view of stronger U.S. support for the Syrian Kurds?,2016-10-09 15:31:00,MO,John Z.,1,"what_' your_view strong u.s. support syrian kurds
"
36,Economy & Jobs,Will you help  jobless/low wage workers who lack updated skills 4 2days jobs? ,2016-10-09 12:09:00,IN,pam d.,1,"help jobless/low wage worker lack updated skill 4 2days job
"
37,Civil Rights,How will you fix the Voting Rights Act?,2016-10-09 13:52:00,MS,Jessica C.,1,"fix voting rights act
"
38,Health,How will you contribute to decrease the stigma associated with mental health?,2016-10-09 19:20:00,CA,Heather P.,1,"contribute decrease stigma associate mental_health
"
